Material,Test File,O2,Particulate,Particulate Size (um),Substrate,Input Velocity (m/s),Output Velocity (m/s),Coefficient of Restitution,Test Temperature Actual (F),Nominal Gas Velocity (ft/s),Flash,Ignition 
Ti-Ni med,95417.pps,0,Ti,95,Ni,134.1178221,27.18239103,0.202675458,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,224.2343126,31.21924208,0.139225981,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,209.8080767,34.40742181,0.163994744,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,231.4879953,33.78350439,0.145940632,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,222.4456042,30.95160997,0.139142376,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,193.4853178,31.57902508,0.16321148,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,200.7506146,35.53171113,0.176994283,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,226.0813349,32.75133161,0.144865261,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,238.005891,31.583786,0.132701699,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,190.2893582,35.52972365,0.186714191,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,227.8710279,34.54683255,0.151606954,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,150.0993518,31.58164923,0.210404967,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,220.657596,34.35700872,0.155702814,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,148.0805513,33.34705869,0.225195398,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,206.1499834,36.34609542,0.17630899,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,222.4346851,38.01534604,0.170905657,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,189.9474946,27.18463579,0.14311658,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,235.1028662,32.74861027,0.139294815,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,211.637693,34.54901984,0.163246062,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,191.753374,37.7581167,0.196909791,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,215.2317549,28.98975085,0.134690863,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,209.7768988,32.75142486,0.156125031,80.4,933,0,0
Ti-Ni med,95417.pps,0,Ti,95,Ni,209.7768988,30.74425794,0.146556928,80.4,933,0,0
