bondID,node1,node2
1,1,39
2,2,22
3,3,22
4,4,23
5,5,59
6,6,10
7,7,12
8,8,13
9,9,11
10,10,12
11,10,15
12,12,14
13,13,15
14,14,16
15,14,19
16,14,34
17,15,30
18,16,17
19,16,18
20,18,19
21,18,21
22,19,21
23,20,42
24,20,45
25,20,50
26,21,35
27,22,44
28,23,24
29,23,25
30,24,25
31,24,28
32,25,26
33,26,28
34,26,29
35,27,30
36,28,29
37,28,31
38,28,43
39,29,31
40,31,58
41,32,33
42,32,36
43,34,35
44,34,38
45,35,40
46,36,37
47,36,47
48,38,40
49,38,41
50,39,48
51,39,66
52,40,41
53,41,89
54,42,43
55,42,46
56,43,46
57,44,45
58,44,49
59,45,49
60,46,50
61,46,51
62,47,85
63,48,88
64,48,119
65,49,55
66,50,53
67,51,52
68,51,53
69,52,53
70,52,54
71,54,56
72,54,57
73,55,76
74,55,97
75,56,57
76,56,58
77,57,65
78,58,74
79,58,170
80,59,60
81,59,63
82,60,63
83,60,64
84,61,62
85,61,67
86,62,67
87,63,64
88,64,90
89,65,74
90,65,104
91,66,69
92,66,73
93,67,68
94,68,70
95,69,71
96,69,72
97,70,77
98,71,72
99,71,88
100,72,78
101,72,81
102,73,76
103,73,101
104,74,138
105,75,80
106,76,78
107,77,79
108,78,81
109,79,82
110,79,83
111,80,84
112,80,86
113,81,107
114,82,83
115,82,87
116,83,87
117,84,86
118,84,123
119,85,89
120,85,103
121,86,117
122,87,102
123,88,109
124,89,96
125,90,91
126,90,99
127,91,92
128,91,95
129,91,114
130,92,93
131,92,95
132,93,94
133,93,95
134,96,98
135,96,124
136,97,101
137,97,112
138,98,99
139,98,105
140,99,102
141,100,103
142,100,106
143,100,108
144,101,112
145,102,111
146,103,106
147,104,110
148,104,166
149,105,111
150,105,128
151,106,108
152,107,115
153,107,260
154,108,122
155,109,113
156,109,116
157,110,123
158,110,170
159,111,125
160,112,120
161,113,116
162,113,118
163,114,117
164,114,121
165,114,126
166,115,118
167,115,142
168,116,174
169,117,121
170,118,140
171,119,186
172,119,231
173,120,168
174,120,246
175,121,126
176,121,165
177,122,124
178,122,135
179,123,128
180,124,127
181,125,129
182,125,131
183,126,133
184,127,129
185,127,132
186,128,164
187,129,212
188,130,138
189,131,132
190,131,139
191,132,137
192,133,134
193,133,136
194,135,137
195,135,141
196,137,141
197,138,266
198,139,141
199,139,148
200,140,142
201,140,143
202,141,150
203,142,145
204,143,146
205,143,173
206,144,147
207,144,149
208,145,146
209,145,151
210,146,151
211,148,150
212,148,152
213,149,153
214,149,156
215,150,155
216,151,159
217,152,154
218,152,155
219,153,156
220,153,158
221,154,157
222,154,160
223,155,157
224,156,158
225,157,161
226,158,218
227,159,172
228,159,176
229,160,161
230,160,162
231,161,163
232,162,163
233,162,167
234,162,175
235,163,167
236,164,165
237,164,171
238,165,169
239,166,177
240,166,178
241,167,185
242,168,246
243,168,547
244,169,171
245,169,179
246,170,274
247,171,179
248,172,173
249,172,191
250,173,188
251,174,176
252,174,187
253,175,182
254,175,183
255,176,187
256,177,180
257,177,203
258,178,180
259,178,181
260,179,206
261,179,217
262,180,181
263,180,193
264,181,190
265,182,184
266,182,189
267,183,184
268,183,185
269,184,192
270,185,192
271,185,233
272,186,265
273,186,268
274,187,231
275,188,191
276,188,200
277,189,199
278,189,205
279,190,193
280,190,194
281,191,196
282,192,222
283,193,201
284,194,201
285,194,242
286,195,197
287,195,198
288,195,316
289,196,200
290,196,224
291,197,198
292,197,202
293,198,202
294,199,203
295,199,205
296,200,228
297,201,405
298,202,264
299,203,204
300,204,208
301,204,209
302,205,207
303,206,214
304,206,370
305,207,209
306,207,215
307,208,210
308,208,211
309,209,217
310,209,403
311,210,211
312,210,215
313,211,215
314,212,216
315,212,219
316,212,232
317,213,219
318,214,220
319,214,227
320,215,222
321,216,221
322,216,226
323,217,222
324,218,225
325,218,230
326,219,221
327,220,223
328,220,227
329,221,226
330,222,239
331,223,229
332,223,245
333,224,254
334,224,282
335,225,230
336,225,238
337,226,232
338,227,229
339,228,235
340,228,303
341,229,236
342,230,270
343,231,235
344,232,261
345,233,239
346,233,240
347,234,237
348,234,241
349,235,244
350,236,251
351,236,286
352,237,241
353,237,243
354,238,269
355,238,427
356,239,256
357,240,250
358,240,257
359,241,243
360,242,247
361,242,255
362,242,259
363,242,262
364,243,263
365,244,248
366,244,284
367,245,251
368,245,252
369,246,263
370,247,255
371,247,259
372,248,249
373,248,258
374,249,258
375,249,351
376,250,256
377,250,257
378,251,252
379,252,267
380,253,277
381,254,303
382,254,412
383,255,262
384,256,272
385,257,272
386,258,276
387,259,273
388,260,264
389,260,310
390,261,267
391,261,279
392,261,281
393,262,273
394,263,370
395,264,314
396,265,271
397,265,275
398,266,352
399,266,419
400,267,279
401,268,271
402,268,352
403,269,270
404,269,278
405,270,664
406,271,275
407,272,296
408,273,309
409,274,283
410,274,287
411,275,280
412,276,304
413,276,306
414,277,278
415,277,294
416,278,301
417,279,281
418,280,285
419,280,291
420,281,297
421,281,321
422,282,284
423,282,304
424,283,287
425,283,298
426,284,448
427,285,291
428,285,301
429,286,289
430,286,341
431,287,292
432,288,290
433,289,342
434,290,483
435,291,474
436,292,298
437,292,299
438,293,295
439,293,302
440,293,541
441,295,302
442,295,307
443,296,300
444,296,305
445,298,355
446,299,309
447,299,315
448,300,305
449,300,311
450,301,490
451,302,327
452,303,448
453,304,308
454,305,466
455,306,308
456,306,345
457,307,317
458,307,327
459,308,313
460,309,315
461,310,317
462,310,319
463,311,407
464,312,316
465,312,320
466,312,325
467,313,318
468,313,334
469,314,329
470,314,332
471,315,333
472,316,320
473,317,319
474,317,410
475,318,357
476,318,424
477,319,322
