ID,AverageFiberLength,OrientationX,OrientationY,OrientationZ,AverageConnectivityWITHBoundary,AverageConnectivityWITHOUTBoundary,StrenghX,StrengthY,StrengthZ,ToughnessX,ToughnessY,ToughnessZ,Density,Sample1,Sample2,Ratio1,Ratio2,qSimx,qSimy,qSimz,AverageStrength,AverageToughness,dir
1,0.003410247,0.358088792,0.323266934,0.318644274,2.27027027,3.06,27.39580349,23.26753227,20.44932158,27.20107826,35.03607778,33.23568988,0.000276431,1,2,0.1,0.1,1,2,3,23.70421911,31.82428198,./WebNet_Mar6/All_Data/s1s2_Ratio_10_10
2,0.003581066,0.41122837,0.306072185,0.282699445,2.38869258,3.063953488,33.11980505,21.95102028,20.73245267,29.63238851,43.49650956,34.22331486,0.000289299,1,2,0.1,0.2,4,5,6,25.26775934,35.78407098,./WebNet_Mar6/All_Data/s1s2_Ratio_10_20
3,0.003333299,0.404571472,0.293940369,0.301488159,2.56612529,3.085910653,35.93331319,23.83732577,15.99769647,34.91253222,51.58305997,38.50661551,0.000312752,1,2,0.1,0.3,7,8,9,25.25611181,41.66740257,./WebNet_Mar6/All_Data/s1s2_Ratio_10_30
4,0.003439638,0.420830759,0.28437124,0.294798001,2.650095602,3.079575597,35.0822102,23.21174306,18.06494543,38.57051594,46.24524715,43.72346112,0.000313938,1,2,0.1,0.4,10,11,12,25.45296623,42.84640807,./WebNet_Mar6/All_Data/s1s2_Ratio_10_40
5,0.003383002,0.42718404,0.281558099,0.291257861,2.707165109,3.064718163,30.08595391,20.21689923,14.56803145,49.13843774,47.26644102,42.86073669,0.000318367,1,2,0.1,0.5,13,14,15,21.6236282,46.42187182,./WebNet_Mar6/All_Data/s1s2_Ratio_10_50
6,0.003339427,0.421125499,0.278881583,0.299992918,2.759689922,3.071550256,29.07871011,19.90334592,18.27449128,47.81314252,49.35924037,42.71333839,0.000327943,1,2,0.1,0.6,16,17,18,22.41884911,46.62857376,./WebNet_Mar6/All_Data/s1s2_Ratio_10_60
7,0.003425179,0.428833635,0.276710757,0.294455607,2.790035587,3.069875776,29.05908572,19.86861405,16.10379772,47.93522765,47.77489754,43.24693515,0.000321811,1,2,0.1,0.7,19,20,21,21.67716583,46.31902011,./WebNet_Mar6/All_Data/s1s2_Ratio_10_70
8,0.00350511,0.43353506,0.271989508,0.294475432,2.808791209,3.06970128,28.44102955,17.07516964,14.47115937,48.84934032,46.93857455,42.88535868,0.000316396,1,2,0.1,0.8,22,23,24,19.99578619,46.22442452,./WebNet_Mar6/All_Data/s1s2_Ratio_10_80
9,0.003561601,0.432381136,0.275012048,0.292606817,2.816032888,3.069057105,26.99796147,14.96540958,12.68583935,46.62192645,38.46092704,36.8877292,0.00030295,1,2,0.1,0.9,25,26,27,18.21640347,40.65686089,./WebNet_Mar6/All_Data/s1s2_Ratio_10_90
10,0.003557589,0.42782778,0.277020937,0.295151283,2.843118383,3.070967742,26.26495417,14.3936841,14.35693015,46.14556548,38.94376457,43.00633263,0.000294994,1,2,0.1,1,28,29,30,18.33852281,42.69855423,./WebNet_Mar6/All_Data/s1s2_Ratio_10_100
